Tag;Datum;Uhrzeit;Team (H);Team (A);Tore (H);Tore (A);HZ-Tore (H);HZ-Tore (A);;;;;;;;;;;;;;;;;;;;;;;;
Sa;19741123;15:30;1. FC Köln;Eintracht Frankfurt;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19741123;15:30;Hertha BSC;1. FC Kaiserslautern;2;1;1;0;1'0;4;2'0;78;2'1;89;;;;;;;;;;;;;;;;;;
Sa;19741123;15:30;VfB Stuttgart;Tennis Borussia Berlin;2;1;1;0;1'0;19;1'1;65;2'1;80;;;;;;;;;;;;;;;;;;
Di;19741126;20:00;Werder Bremen;VfB Stuttgart;5;2;1;1;1'0;24;1'1;27;2'1;55;3'1;72;3'2;75;4'2;79;5'2;83;;;;;;;;;;
Fr;19741129;20:00;VfL Bochum;Bayern München;3;0;2;0;1'0;7;2'0;15;3'0;51;;;;;;;;;;;;;;;;;;
Sa;19741130;14:30;MSV Duisburg;Hertha BSC;1;3;0;2;0'1;37;0'2;41;1'2;73;1'3;77;;;;;;;;;;;;;;;;
Sa;19741130;15:30;Hamburger SV;Fortuna Düsseldorf;2;1;1;1;1'0;22;1'1;32;2'1;64;;;;;;;;;;;;;;;;;;
Sa;19741130;15:30;Eintracht Braunschweig;Werder Bremen;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19741130;15:30;Rot-Weiss Essen;Kickers Offenbach;5;1;2;1;1'0;27;2'0;34;2'1;44;3'1;64;4'1;76;5'1;82;;;;;;;;;;;;
Sa;19741130;15:30;Eintracht Frankfurt;Wuppertaler SV;5;0;4;0;1'0;18;2'0;23;3'0;42;4'0;45;5'0;78;;;;;;;;;;;;;;
Sa;19741130;15:30;Tennis Borussia Berlin;1. FC Köln;2;3;1;1;0'1;13;1'1;40;1'2;55;1'3;60;2'3;66;;;;;;;;;;;;;;
Sa;19741130;15:30;1. FC Kaiserslautern;VfB Stuttgart;6;0;2;0;1'0;26;2'0;36;3'0;81;4'0;83;5'0;84;6'0;86;;;;;;;;;;;;
Fr;19741206;20:00;Kickers Offenbach;VfL Bochum;2;0;1;0;1'0;8;2'0;60;;;;;;;;;;;;;;;;;;;;
Sa;19741207;15:30;Bayern München;Fortuna Düsseldorf;4;0;2;0;1'0;35;2'0;38;3'0;83;4'0;90;;;;;;;;;;;;;;;;
Sa;19741207;15:30;VfB Stuttgart;MSV Duisburg;2;1;1;0;1'0;7;1'1;69;2'1;71;;;;;;;;;;;;;;;;;;
Di;19741210;20:00;FC Schalke 04;Eintracht Frankfurt;1;1;1;0;1'0;16;1'1;74;;;;;;;;;;;;;;;;;;;;
Sa;19741214;15:30;Hamburger SV;Bayern München;1;0;1;0;1'0;43;;;;;;;;;;;;;;;;;;;;;;
Sa;19741214;15:30;Bor. Mönchengladbach;Werder Bremen;4;2;3;1;1'0;9;2'0;20;2'1;32;3'1;34;4'1;75;4'2;88;;;;;;;;;;;;
Sa;19741214;15:30;Eintracht Frankfurt;Eintracht Braunschweig;2;0;0;0;1'0;51;2'0;71;;;;;;;;;;;;;;;;;;;;
Sa;19741214;15:30;VfL Bochum;Hertha BSC;4;0;0;0;1'0;59;2'0;65;3'0;86;4'0;89;;;;;;;;;;;;;;;;
Sa;19741214;15:30;Tennis Borussia Berlin;FC Schalke 04;0;2;0;1;0'1;2;0'2;85;;;;;;;;;;;;;;;;;;;;
Sa;19741214;15:30;Rot-Weiss Essen;VfB Stuttgart;3;1;2;1;1'0;11;1'1;14;2'1;43;3'1;90;;;;;;;;;;;;;;;;
Sa;19741214;15:30;1. FC Kaiserslautern;Wuppertaler SV;2;0;2;0;1'0;7;2'0;32;;;;;;;;;;;;;;;;;;;;
Sa;19741221;15:30;Hertha BSC;Rot-Weiss Essen;4;2;1;1;0'1;12;1'1;38;2'1;59;2'2;62;3'2;87;4'2;88;;;;;;;;;;;;
Sa;19741221;15:30;Wuppertaler SV;Tennis Borussia Berlin;2;0;0;0;1'0;77;2'0;83;;;;;;;;;;;;;;;;;;;;
Sa;19741221;15:30;Werder Bremen;Hamburger SV;1;0;0;0;1'0;76;;;;;;;;;;;;;;;;;;;;;;
Sa;19750118;15:30;1. FC Köln;1. FC Kaiserslautern;2;0;0;0;1'0;88;2'0;90;;;;;;;;;;;;;;;;;;;;
Sa;19750118;15:30;Fortuna Düsseldorf;Kickers Offenbach;3;2;0;0;1'0;47;2'0;58;3'0;62;3'1;72;3'2;90;;;;;;;;;;;;;;
Mo;19750120;15:30;Eintracht Braunschweig;Bor. Mönchengladbach;1;3;1;2;0'1;12;0'2;15;1'2;34;1'3;68;;;;;;;;;;;;;;;;
Mi;19750122;20:00;Bor. Mönchengladbach;FC Schalke 04;1;0;0;0;1'0;66;;;;;;;;;;;;;;;;;;;;;;
Mi;19750122;20:00;MSV Duisburg;1. FC Köln;1;3;1;0;1'0;16;1'1;50;1'2;55;1'3;59;;;;;;;;;;;;;;;;
Sa;19750125;15:30;Bayern München;Kickers Offenbach;2;3;2;1;1'0;16;2'0;24;2'1;33;2'2;59;2'3;66;;;;;;;;;;;;;;
Sa;19750125;15:30;Eintracht Frankfurt;Werder Bremen;2;1;1;1;1'0;7;1'1;22;2'1;74;;;;;;;;;;;;;;;;;;
Sa;19750125;15:30;Fortuna Düsseldorf;Hertha BSC;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19750125;15:30;Tennis Borussia Berlin;Eintracht Braunschweig;2;2;1;2;0'1;16;1'1;22;1'2;44;2'2;63;;;;;;;;;;;;;;;;
Sa;19750125;15:30;VfL Bochum;VfB Stuttgart;1;0;0;0;1'0;53;;;;;;;;;;;;;;;;;;;;;;
Sa;19750125;15:30;1. FC Kaiserslautern;FC Schalke 04;1;1;1;1;1'0;15;1'1;26;;;;;;;;;;;;;;;;;;;;
Sa;19750125;15:30;Rot-Weiss Essen;1. FC Köln;1;1;0;0;1'0;79;1'1;90;;;;;;;;;;;;;;;;;;;;
Sa;19750125;15:30;MSV Duisburg;Wuppertaler SV;2;2;2;2;1'0;3;1'1;4;1'2;29;2'2;37;;;;;;;;;;;;;;;;
Sa;19750125;15:30;Hamburger SV;Bor. Mönchengladbach;1;1;0;0;0'1;55;1'1;66;;;;;;;;;;;;;;;;;;;;
Sa;19750201;15:30;Hertha BSC;Bayern München;4;1;1;1;1'0;9;1'1;12;2'1;47;3'1;61;4'1;85;;;;;;;;;;;;;;
Sa;19750201;15:30;Bor. Mönchengladbach;Eintracht Frankfurt;3;0;3;0;1'0;24;2'0;33;3'0;40;;;;;;;;;;;;;;;;;;
Sa;19750201;15:30;VfB Stuttgart;Fortuna Düsseldorf;1;1;1;1;0'1;20;1'1;27;;;;;;;;;;;;;;;;;;;;
Sa;19750201;15:30;Eintracht Braunschweig;1. FC Kaiserslautern;3;2;2;1;0'1;12;1'1;13;2'1;37;3'1;57;3'2;71;;;;;;;;;;;;;;
Sa;19750201;15:30;1. FC Köln;VfL Bochum;4;1;4;0;1'0;8;2'0;29;3'0;35;4'0;43;4'1;71;;;;;;;;;;;;;;
Sa;19750201;15:30;FC Schalke 04;MSV Duisburg;5;0;2;0;1'0;32;2'0;43;3'0;76;4'0;80;5'0;82;;;;;;;;;;;;;;
Sa;19750201;15:30;Wuppertaler SV;Rot-Weiss Essen;0;2;0;1;0'1;44;0'2;81;;;;;;;;;;;;;;;;;;;;
Sa;19750201;15:30;Kickers Offenbach;Hamburger SV;4;1;1;1;1'0;27;1'1;32;2'1;65;3'1;72;4'1;87;;;;;;;;;;;;;;
Sa;19750201;15:30;Werder Bremen;Tennis Borussia Berlin;1;1;0;1;0'1;35;1'1;78;;;;;;;;;;;;;;;;;;;;
Sa;19750215;15:30;Bayern München;VfB Stuttgart;1;1;0;1;0'1;45;1'1;57;;;;;;;;;;;;;;;;;;;;
Sa;19750215;15:30;Tennis Borussia Berlin;Bor. Mönchengladbach;1;4;1;1;0'1;27;1'1;33;1'2;50;1'3;68;1'4;88;;;;;;;;;;;;;;
Sa;19750215;15:30;Fortuna Düsseldorf;1. FC Köln;3;0;1;0;1'0;9;2'0;75;3'0;90;;;;;;;;;;;;;;;;;;
Sa;19750215;15:30;MSV Duisburg;Eintracht Braunschweig;3;2;2;1;1'0;3;1'1;18;2'1;27;3'1;65;3'2;74;;;;;;;;;;;;;;
Sa;19750215;15:30;VfL Bochum;Wuppertaler SV;4;2;3;2;1'0;15;2'0;17;2'1;29;3'1;34;3'2;38;4'2;74;;;;;;;;;;;;
Sa;19750215;15:30;Rot-Weiss Essen;FC Schalke 04;4;4;2;3;0'1;5;1'1;8;2'1;18;2'2;26;2'3;30;3'3;52;4'3;66;4'4;88;;;;;;;;
Sa;19750215;15:30;1. FC Kaiserslautern;Werder Bremen;4;1;4;1;1'0;12;2'0;20;2'1;22;3'1;28;4'1;37;;;;;;;;;;;;;;
Sa;19750215;15:30;Kickers Offenbach;Hertha BSC;3;1;1;1;0'1;29;1'1;36;2'1;57;3'1;70;;;;;;;;;;;;;;;;
Sa;19750215;15:30;Hamburger SV;Eintracht Frankfurt;3;1;1;0;1'0;45;2'0;58;3'0;61;3'1;65;;;;;;;;;;;;;;;;
Sa;19750222;15:30;Hertha BSC;Hamburger SV;1;0;0;0;1'0;49;;;;;;;;;;;;;;;;;;;;;;
Sa;19750222;15:30;1. FC Köln;Bayern München;1;0;1;0;1'0;4;;;;;;;;;;;;;;;;;;;;;;
Sa;19750222;15:30;Bor. Mönchengladbach;1. FC Kaiserslautern;3;0;0;0;1'0;59;2'0;72;3'0;90;;;;;;;;;;;;;;;;;;
Sa;19750222;15:30;Wuppertaler SV;Fortuna Düsseldorf;2;3;2;1;1'0;18;2'0;30;2'1;37;2'2;57;2'3;60;;;;;;;;;;;;;;
Sa;19750222;15:30;Eintracht Braunschweig;Rot-Weiss Essen;4;2;2;1;1'0;20;2'0;34;2'1;39;3'1;72;4'1;79;4'2;82;;;;;;;;;;;;
Sa;19750222;15:30;FC Schalke 04;VfL Bochum;1;0;1;0;1'0;12;;;;;;;;;;;;;;;;;;;;;;
Sa;19750222;15:30;Werder Bremen;MSV Duisburg;3;1;0;0;1'0;60;1'1;65;2'1;72;3'1;78;;;;;;;;;;;;;;;;
Sa;19750222;15:30;VfB Stuttgart;Kickers Offenbach;3;1;1;0;1'0;7;1'1;61;2'1;68;3'1;71;;;;;;;;;;;;;;;;
Sa;19750222;15:30;Eintracht Frankfurt;Tennis Borussia Berlin;7;1;3;0;1'0;25;2'0;37;3'0;41;4'0;57;4'1;65;5'1;66;6'1;78;7'1;81;;;;;;;;
Fr;19750228;20:00;Hamburger SV;Tennis Borussia Berlin;4;0;2;0;1'0;7;2'0;43;3'0;49;4'0;57;;;;;;;;;;;;;;;;
Sa;19750301;15:30;MSV Duisburg;Bor. Mönchengladbach;1;1;0;1;0'1;24;1'1;83;;;;;;;;;;;;;;;;;;;;
Sa;19750301;15:30;Fortuna Düsseldorf;FC Schalke 04;2;1;2;0;1'0;18;2'0;35;2'1;83;;;;;;;;;;;;;;;;;;
Sa;19750301;15:30;VfL Bochum;Eintracht Braunschweig;1;0;0;0;1'0;83;;;;;;;;;;;;;;;;;;;;;;
Sa;19750301;15:30;Rot-Weiss Essen;Werder Bremen;1;1;1;1;0'1;3;1'1;34;;;;;;;;;;;;;;;;;;;;
Sa;19750301;15:30;Kickers Offenbach;1. FC Köln;1;4;0;2;0'1;4;0'2;12;0'3;56;0'4;69;1'4;83;;;;;;;;;;;;;;
Sa;19750301;15:30;1. FC Kaiserslautern;Eintracht Frankfurt;2;2;2;2;1'0;12;2'0;25;2'1;28;2'2;39;;;;;;;;;;;;;;;;
Sa;19750301;15:30;Hertha BSC;VfB Stuttgart;4;0;1;0;1'0;32;2'0;47;3'0;52;4'0;63;;;;;;;;;;;;;;;;
Sa;19750301;15:30;Bayern München;Wuppertaler SV;3;1;2;0;1'0;17;2'0;26;3'0;72;3'1;81;;;;;;;;;;;;;;;;
Fr;19750307;20:00;Wuppertaler SV;Kickers Offenbach;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Fr;19750307;20:00;Eintracht Frankfurt;MSV Duisburg;4;1;4;0;1'0;14;2'0;36;3'0;39;4'0;42;4'1;61;;;;;;;;;;;;;;
Sa;19750308;15:30;Bor. Mönchengladbach;Rot-Weiss Essen;1;1;1;1;1'0;14;1'1;25;;;;;;;;;;;;;;;;;;;;
Sa;19750308;15:30;Eintracht Braunschweig;Fortuna Düsseldorf;3;0;3;0;1'0;21;2'0;31;3'0;40;;;;;;;;;;;;;;;;;;
Sa;19750308;15:30;Werder Bremen;VfL Bochum;3;0;1;0;1'0;11;2'0;60;3'0;67;;;;;;;;;;;;;;;;;;
Sa;19750308;15:30;1. FC Köln;Hertha BSC;2;1;1;0;1'0;15;2'0;86;2'1;88;;;;;;;;;;;;;;;;;;
Sa;19750308;15:30;Tennis Borussia Berlin;1. FC Kaiserslautern;3;2;0;0;1'0;53;1'1;65;1'2;69;2'2;79;3'2;83;;;;;;;;;;;;;;
Sa;19750308;15:30;VfB Stuttgart;Hamburger SV;1;2;0;2;0'1;16;0'2;30;1'2;84;;;;;;;;;;;;;;;;;;
Sa;19750308;20:00;FC Schalke 04;Bayern München;2;2;2;0;1'0;15;2'0;35;2'1;75;2'2;83;;;;;;;;;;;;;;;;
Fr;19750321;20:00;MSV Duisburg;Tennis Borussia Berlin;2;3;0;2;0'1;43;0'2;44;1'2;69;2'2;80;2'3;84;;;;;;;;;;;;;;
Sa;19750322;15:30;Bayern München;Eintracht Braunschweig;1;0;0;0;1'0;48;;;;;;;;;;;;;;;;;;;;;;
Sa;19750322;15:30;VfL Bochum;Bor. Mönchengladbach;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19750322;15:30;Fortuna Düsseldorf;Werder Bremen;4;1;1;0;1'0;37;2'0;64;3'0;68;4'0;79;4'1;87;;;;;;;;;;;;;;
Sa;19750322;15:30;Kickers Offenbach;FC Schalke 04;3;0;3;0;1'0;32;2'0;37;3'0;41;;;;;;;;;;;;;;;;;;
Sa;19750322;15:30;Rot-Weiss Essen;Eintracht Frankfurt;0;5;0;1;0'1;21;0'2;58;0'3;74;0'4;79;0'5;89;;;;;;;;;;;;;;
Sa;19750322;15:30;Hertha BSC;Wuppertaler SV;2;0;2;0;1'0;1;2'0;42;;;;;;;;;;;;;;;;;;;;
Sa;19750322;15:30;VfB Stuttgart;1. FC Köln;2;0;2;0;1'0;18;2'0;22;;;;;;;;;;;;;;;;;;;;
Sa;19750322;15:30;Hamburger SV;1. FC Kaiserslautern;2;0;1;0;1'0;27;2'0;89;;;;;;;;;;;;;;;;;;;;
Mi;19750326;15:30;Bor. Mönchengladbach;Fortuna Düsseldorf;3;1;2;0;1'0;11;2'0;40;3'0;48;3'1;90;;;;;;;;;;;;;;;;
Mi;19750326;15:30;1. FC Köln;Hamburger SV;4;0;1;0;1'0;8;2'0;71;3'0;79;4'0;87;;;;;;;;;;;;;;;;
Do;19750327;19:30;Tennis Borussia Berlin;Rot-Weiss Essen;1;0;1;0;1'0;39;;;;;;;;;;;;;;;;;;;;;;
Do;19750327;20:00;1. FC Kaiserslautern;MSV Duisburg;2;0;1;0;1'0;32;2'0;83;;;;;;;;;;;;;;;;;;;;
Do;19750327;20:00;Werder Bremen;Bayern München;0;2;0;0;0'1;62;0'2;89;;;;;;;;;;;;;;;;;;;;
Do;19750327;20:00;FC Schalke 04;Hertha BSC;1;0;0;0;1'0;77;;;;;;;;;;;;;;;;;;;;;;
Di;19750401;20:00;Fortuna Düsseldorf;Eintracht Frankfurt;2;2;1;2;1'0;10;1'1;18;1'2;33;2'2;60;;;;;;;;;;;;;;;;
Di;19750401;20:00;Hertha BSC;Eintracht Braunschweig;3;1;1;0;1'0;34;1'1;57;2'1;77;3'1;81;;;;;;;;;;;;;;;;
Di;19750401;20:00;VfL Bochum;Tennis Borussia Berlin;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Di;19750401;20:00;VfB Stuttgart;FC Schalke 04;3;1;1;0;1'0;36;1'1;55;2'1;75;3'1;84;;;;;;;;;;;;;;;;
Di;19750401;20:00;Rot-Weiss Essen;1. FC Kaiserslautern;3;1;2;0;1'0;12;2'0;32;3'0;69;3'1;89;;;;;;;;;;;;;;;;
Di;19750401;20:00;1. FC Köln;Wuppertaler SV;4;0;1;0;1'0;17;2'0;49;3'0;64;4'0;76;;;;;;;;;;;;;;;;
Di;19750401;20:00;Hamburger SV;MSV Duisburg;2;3;1;1;1'0;23;1'1;44;1'2;52;1'3;65;2'3;75;;;;;;;;;;;;;;
Di;19750401;20:00;Kickers Offenbach;Werder Bremen;5;1;3;1;1'0;3;2'0;23;3'0;44;3'1;45;4'1;54;5'1;73;;;;;;;;;;;;
Sa;19750405;15:30;Eintracht Frankfurt;Bayern München;2;0;1;0;1'0;40;2'0;84;;;;;;;;;;;;;;;;;;;;
Sa;19750405;15:30;Bor. Mönchengladbach;Kickers Offenbach;5;2;3;1;1'0;18;2'0;19;2'1;24;3'1;45;3'2;68;4'2;79;5'2;87;;;;;;;;;;
Sa;19750405;15:30;Tennis Borussia Berlin;Fortuna Düsseldorf;1;4;0;3;0'1;10;0'2;11;0'3;28;0'4;48;1'4;77;;;;;;;;;;;;;;
Sa;19750405;15:30;Eintracht Braunschweig;VfB Stuttgart;6;0;4;0;1'0;7;2'0;11;3'0;18;4'0;36;5'0;48;6'0;74;;;;;;;;;;;;
Sa;19750405;15:30;1. FC Kaiserslautern;VfL Bochum;1;0;0;0;1'0;52;;;;;;;;;;;;;;;;;;;;;;
Sa;19750405;15:30;MSV Duisburg;Rot-Weiss Essen;3;3;2;0;1'0;4;2'0;11;2'1;52;2'2;58;3'2;70;3'3;84;;;;;;;;;;;;
Sa;19750405;15:30;Wuppertaler SV;Hamburger SV;0;4;0;1;0'1;18;0'2;82;0'3;88;0'4;89;;;;;;;;;;;;;;;;
Sa;19750405;15:30;Werder Bremen;Hertha BSC;4;0;2;0;1'0;8;2'0;21;3'0;46;4'0;54;;;;;;;;;;;;;;;;
Sa;19750412;15:30;Eintracht Braunschweig;Kickers Offenbach;1;0;1;0;1'0;41;;;;;;;;;;;;;;;;;;;;;;
Sa;19750412;15:30;Wuppertaler SV;VfB Stuttgart;2;2;0;1;0'1;23;1'1;60;1'2;83;2'2;89;;;;;;;;;;;;;;;;
So;19750413;15:30;Bayern München;Bor. Mönchengladbach;1;1;0;0;0'1;80;1'1;90;;;;;;;;;;;;;;;;;;;;
Di;19750415;20:00;FC Schalke 04;1. FC Köln;1;1;0;0;1'0;68;1'1;75;;;;;;;;;;;;;;;;;;;;
Fr;19750418;20:00;Fortuna Düsseldorf;1. FC Kaiserslautern;2;0;2;0;1'0;12;2'0;44;;;;;;;;;;;;;;;;;;;;
Sa;19750419;15:30;Wuppertaler SV;FC Schalke 04;0;1;0;1;0'1;8;;;;;;;;;;;;;;;;;;;;;;
Sa;19750419;15:30;Bayern München;Tennis Borussia Berlin;3;1;3;0;1'0;4;2'0;8;3'0;18;3'1;52;;;;;;;;;;;;;;;;
Sa;19750419;15:30;Hertha BSC;Bor. Mönchengladbach;2;1;1;1;0'1;23;1'1;31;2'1;75;;;;;;;;;;;;;;;;;;
Sa;19750419;15:30;1. FC Köln;Eintracht Braunschweig;3;0;3;0;1'0;17;2'0;19;3'0;31;;;;;;;;;;;;;;;;;;
Sa;19750419;15:30;VfL Bochum;MSV Duisburg;1;2;0;2;0'1;1;0'2;43;1'2;84;;;;;;;;;;;;;;;;;;
Sa;19750419;15:30;Hamburger SV;Rot-Weiss Essen;2;2;1;0;1'0;41;1'1;48;2'1;72;2'2;83;;;;;;;;;;;;;;;;
Sa;19750419;15:30;VfB Stuttgart;Werder Bremen;2;2;1;0;1'0;22;1'1;57;2'1;67;2'2;78;;;;;;;;;;;;;;;;
Sa;19750419;15:30;Kickers Offenbach;Eintracht Frankfurt;2;1;0;1;0'1;1;1'1;65;2'1;75;;;;;;;;;;;;;;;;;;
Di;19750422;20:00;Eintracht Frankfurt;VfL Bochum;4;1;3;1;1'0;12;2'0;15;3'0;40;3'1;42;4'1;82;;;;;;;;;;;;;;
Sa;19750503;15:30;1. FC Kaiserslautern;Bayern München;0;1;0;0;0'1;74;;;;;;;;;;;;;;;;;;;;;;
Sa;19750503;15:30;Bor. Mönchengladbach;VfB Stuttgart;5;1;2;0;1'0;3;2'0;38;3'0;53;4'0;60;5'0;69;5'1;79;;;;;;;;;;;;
Sa;19750503;15:30;MSV Duisburg;Fortuna Düsseldorf;0;3;0;2;0'1;22;0'2;33;0'3;54;;;;;;;;;;;;;;;;;;
Sa;19750503;15:30;Eintracht Braunschweig;Wuppertaler SV;1;1;0;0;1'0;49;1'1;79;;;;;;;;;;;;;;;;;;;;
Sa;19750503;15:30;Rot-Weiss Essen;VfL Bochum;1;1;0;0;1'0;47;1'1;83;;;;;;;;;;;;;;;;;;;;
Sa;19750503;15:30;FC Schalke 04;Hamburger SV;3;1;2;1;1'0;2;2'0;3;2'1;36;3'1;77;;;;;;;;;;;;;;;;
Sa;19750503;15:30;Werder Bremen;1. FC Köln;4;1;2;1;0'1;19;1'1;22;2'1;36;3'1;55;4'1;57;;;;;;;;;;;;;;
Sa;19750503;15:30;Tennis Borussia Berlin;Kickers Offenbach;0;2;0;1;0'1;22;0'2;87;;;;;;;;;;;;;;;;;;;;
Sa;19750503;15:30;Eintracht Frankfurt;Hertha BSC;1;2;1;0;1'0;35;1'1;55;1'2;79;;;;;;;;;;;;;;;;;;
Fr;19750509;20:00;Kickers Offenbach;1. FC Kaiserslautern;2;2;2;0;1'0;37;2'0;44;2'1;77;2'2;88;;;;;;;;;;;;;;;;
Sa;19750510;15:30;Bayern München;MSV Duisburg;2;1;1;0;1'0;31;2'0;77;2'1;82;;;;;;;;;;;;;;;;;;
Sa;19750510;15:30;1. FC Köln;Bor. Mönchengladbach;1;2;1;1;0'1;3;1'1;37;1'2;59;;;;;;;;;;;;;;;;;;
Sa;19750510;15:30;Fortuna Düsseldorf;Rot-Weiss Essen;4;0;2;0;1'0;13;2'0;16;3'0;75;4'0;83;;;;;;;;;;;;;;;;
Sa;19750510;15:30;FC Schalke 04;Eintracht Braunschweig;1;1;1;1;1'0;20;1'1;24;;;;;;;;;;;;;;;;;;;;
Sa;19750510;15:30;Hamburger SV;VfL Bochum;3;2;1;1;0'1;28;1'1;35;2'1;59;2'2;66;3'2;85;;;;;;;;;;;;;;
Sa;19750510;15:30;Wuppertaler SV;Werder Bremen;2;4;0;2;0'1;28;0'2;36;0'3;48;1'3;66;1'4;74;2'4;75;;;;;;;;;;;;
Sa;19750510;15:30;VfB Stuttgart;Eintracht Frankfurt;3;4;1;1;1'0;28;1'1;37;1'2;47;2'2;55;3'2;61;3'3;65;3'4;90;;;;;;;;;;
Sa;19750510;15:30;Hertha BSC;Tennis Borussia Berlin;2;1;1;1;1'0;1;1'1;39;2'1;50;;;;;;;;;;;;;;;;;;
Fr;19750523;20:00;MSV Duisburg;Kickers Offenbach;2;1;0;0;1'0;60;2'0;66;2'1;70;;;;;;;;;;;;;;;;;;
Fr;19750523;20:00;Eintracht Frankfurt;1. FC Köln;3;2;3;1;0'1;6;1'1;12;2'1;24;3'1;28;3'2;74;;;;;;;;;;;;;;
Fr;19750523;20:00;1. FC Kaiserslautern;Hertha BSC;3;0;2;0;1'0;1;2'0;27;3'0;65;;;;;;;;;;;;;;;;;;
Sa;19750524;15:30;Rot-Weiss Essen;Bayern München;2;2;0;1;0'1;3;0'2;57;1'2;67;2'2;83;;;;;;;;;;;;;;;;
Sa;19750524;15:30;Bor. Mönchengladbach;Wuppertaler SV;6;2;3;1;1'0;13;2'0;18;2'1;25;3'1;41;4'1;51;5'1;53;5'2;65;6'2;88;;;;;;;;
Sa;19750524;15:30;VfL Bochum;Fortuna Düsseldorf;4;2;1;1;1'0;7;1'1;44;2'1;55;3'1;69;3'2;75;4'2;89;;;;;;;;;;;;
Sa;19750524;15:30;Eintracht Braunschweig;Hamburger SV;1;2;1;2;1'0;4;1'1;15;1'2;27;;;;;;;;;;;;;;;;;;
Sa;19750524;15:30;Werder Bremen;FC Schalke 04;0;1;0;1;0'1;28;;;;;;;;;;;;;;;;;;;;;;
Sa;19750524;15:30;Tennis Borussia Berlin;VfB Stuttgart;1;1;0;1;0'1;42;1'1;66;;;;;;;;;;;;;;;;;;;;
Do;19750529;20:00;Kickers Offenbach;Rot-Weiss Essen;1;3;0;0;0'1;50;1'1;58;1'2;82;1'3;90;;;;;;;;;;;;;;;;
Fr;19750530;20:00;Hertha BSC;MSV Duisburg;3;0;0;0;1'0;67;2'0;79;3'0;81;;;;;;;;;;;;;;;;;;
Sa;19750531;15:30;Bayern München;VfL Bochum;2;1;0;1;0'1;39;1'1;54;2'1;79;;;;;;;;;;;;;;;;;;
Sa;19750531;15:30;FC Schalke 04;Bor. Mönchengladbach;1;3;0;2;0'1;34;0'2;40;1'2;50;1'3;85;;;;;;;;;;;;;;;;
Sa;19750531;15:30;Fortuna Düsseldorf;Hamburger SV;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19750531;15:30;Werder Bremen;Eintracht Braunschweig;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19750531;15:30;Wuppertaler SV;Eintracht Frankfurt;2;3;0;3;0'1;5;0'2;29;0'3;37;1'3;58;2'3;77;;;;;;;;;;;;;;
Sa;19750531;15:30;1. FC Köln;Tennis Borussia Berlin;7;1;2;0;1'0;40;2'0;43;2'1;48;3'1;61;4'1;67;5'1;70;6'1;75;7'1;90;;;;;;;;
Sa;19750531;15:30;VfB Stuttgart;1. FC Kaiserslautern;0;1;0;0;0'1;66;;;;;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;Fortuna Düsseldorf;Bayern München;6;5;2;4;0'1;29;1'1;35;1'2;38;1'3;40;2'3;41;2'4;42;3'4;56;4'4;59;5'4;63;5'5;69;6'5;72;;
Sa;19750607;15:30;Bor. Mönchengladbach;Eintracht Braunschweig;2;0;0;0;1'0;88;2'0;90;;;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;VfL Bochum;Kickers Offenbach;3;1;1;1;0'1;40;1'1;42;2'1;60;3'1;64;;;;;;;;;;;;;;;;
Sa;19750607;15:30;Eintracht Frankfurt;FC Schalke 04;2;1;0;1;0'1;20;1'1;54;2'1;69;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;Rot-Weiss Essen;Hertha BSC;2;1;0;1;0'1;24;1'1;47;2'1;55;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;Tennis Borussia Berlin;Wuppertaler SV;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;MSV Duisburg;VfB Stuttgart;3;3;0;1;0'1;19;1'1;64;1'2;70;2'2;78;3'2;83;3'3;85;;;;;;;;;;;;
Sa;19750607;15:30;1. FC Kaiserslautern;1. FC Köln;1;1;1;0;1'0;29;1'1;84;;;;;;;;;;;;;;;;;;;;
Sa;19750607;15:30;Hamburger SV;Werder Bremen;2;0;2;0;1'0;33;2'0;37;;;;;;;;;;;;;;;;;;;;
Sa;19750614;15:30;Bayern München;Hamburger SV;0;1;0;1;0'1;35;;;;;;;;;;;;;;;;;;;;;;
Sa;19750614;15:30;Werder Bremen;Bor. Mönchengladbach;1;4;1;2;1'0;17;1'1;19;1'2;40;1'3;80;1'4;87;;;;;;;;;;;;;;
Sa;19750614;15:30;Kickers Offenbach;Fortuna Düsseldorf;2;3;1;2;0'1;2;1'1;13;1'2;45;2'2;86;2'3;87;;;;;;;;;;;;;;
